Date,Time,Open,High,Low,Close,Volume,Return,Range,OpenPosition,ClosePosition,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_diff,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr
1/6/2010,10:00:00 PM,110.7099991,111.7699966,110.4100037,111.5100021,24981900,0.016499592,0.012196152,0.220586008,0.808826582,15430149.57,24981900,0.617653164,0,50,0,0,-1280452.18,1023.408078,0,1.815017736,0,0,0,2.445370801,0.602942194,0,0,0,0,0,0,0,0,0.536697855,0.493367501,0,-0.313850665,22.69907855,6.062007141,-165.0152886,0,4,4,0,0,0,0,100,0,0,0,0,0,80.88265818,80.88265818,0,0,0,0,-2.80074625
1/7/2010,10:00:00 PM,111.0699997,111.2900009,110.6200027,110.8199997,13609800,-0.006187808,0.006045824,0.671639072,0.298503724,9945501.525,11372100,0.257710894,-9390795.227,0,-0.664584551,-0.664584551,-1280452.18,1023.408078,0,1.815017736,0.25,0,0,1.827668256,0.376846127,0,0,0,-0.05504293,-0.011008586,-0.044034344,0,0,0.536697855,0.493367501,-0.011237053,-0.001208556,22.69907855,6.062007141,-167.598651,-1.291681191,4,8,-4,0,0,0,0,0,0,0,-100,8.888783396,30.1469227,55.51479044,0,-3.758053121,-0.751610624,-3.006442497,-0.618780762
1/8/2010,10:00:00 PM,111.5199966,111.5800018,110.2600021,111.3700027,15894600,0.004963031,0.011852381,0.954541514,0.840909748,20782749.68,27266700,0.381430739,-6800384.694,53.90778627,-0.29066342,-0.477623985,-5329.437718,1023.408078,0,1.815017736,0.614728179,0,0,2.010738455,0.634329333,0,0,0,-0.053665575,-0.019539984,-0.034125591,0,0,0.536697855,0.493367501,-0.013413485,-0.002209143,22.69907855,6.062007141,-167.0869678,-0.51999864,4,8,-4,0,1,0,46.19081182,0,0,0,-98.24421039,36.69469104,73.51024162,61.51327417,0,-6.057792516,-1.812847003,-4.244945513,0.496303062
1/11/2010,10:00:00 PM,113.3399963,113.5899963,112.5199966,112.8499985,17253000,0.013288998,0.00948161,0.766355074,0.308413014,14171849.14,44519700,0.197546521,-2181134.554,71.10652748,13.2408478,4.095199943,308160.4665,1023.408078,0,2.673060487,0.906314233,0,0,1.981184915,1.088612788,1,0,0,0.06608746,-0.002414495,0.068501955,0,0,0.536697855,0.493367501,0.074363451,-0.000430793,22.69907855,6.062007141,-164.0605814,1.879790797,16,8,8,1,0,0,76.99039394,0,0,0,-92.2340636,48.18653191,77.77780323,60.47832252,0,-7.399771427,-2.930231888,-4.46953954,1.328899785
1/12/2010,10:00:00 PM,112.3799973,113.0500031,110.1399994,110.4899979,29182600,-0.020912722,0.026337259,0.769757747,0.120274238,-7990920.878,15337100,-0.079179255,-11708251.59,43.85738169,-14.55864653,-0.568261675,-381012.5119,1023.408078,0,2.907865758,0.216630537,0,0,2.629955994,0.160753794,0,0,0,-0.029104228,-0.007752442,-0.021351786,0,0,0.536697855,0.493367501,-0.028545378,-0.001000006,22.69907855,6.062007141,-165.7790772,0.129035961,16,20,-4,0,1,0,38.82648741,0,0,0,-87.96767946,36.09190362,10.14489228,53.81097904,0,-4.065164966,-3.157218503,-0.907946462,-2.091272169
1/13/2010,10:00:00 PM,110.9199982,111.5699997,109.5699997,111.5400009,20014000,0.00950315,0.017930787,0.674999237,0.98500061,11422683.55,35351100,0.09445238,-7033535.495,34.75147669,-10.24284527,-2.503178393,-420091.5426,1023.408078,0,2.659850538,0.537113826,0,0,2.792087837,0.549482201,0,0,0,-0.019592011,-0.010120356,-0.009471655,0,0,0.536697855,0.493367501,-0.08990852,-0.001276361,22.69907855,6.062007141,-165.6143408,0.24481037,16,20,-4,0,0,0,50.56720361,0,0,0,-81.88619375,47.75699142,49.00504641,45.64258064,0,-4.679688439,-3.46171249,-1.217975949,0.950315026
1/14/2010,10:00:00 PM,111.5100021,112.3700027,110.7900009,112.0299988,18305300,0.004393024,0.014103382,0.455696447,0.784807865,21849670.38,53656400,0.156919578,-4747379.296,45.23061551,8.717722324,-0.633028274,270611.6654,1023.408078,0,2.573316336,0.679214898,0,0,2.797267514,0.690803115,0,0,0,0.027172,-0.002661884,0.029833885,0,0,0.536697855,0.493367501,-0.026425609,-0.000483859,22.69907855,6.062007141,-164.9725155,0.759973397,16,20,-4,0,0,0,54.91575203,0,0,0,-76.02397129,51.71006043,61.19405818,40.11466562,0,-5.749038258,-3.919177644,-1.829860614,0.439302367
1/15/2010,10:00:00 PM,111.3499985,112.0100021,110.3799973,110.8600006,18002700,-0.010443615,0.014703273,0.595090991,0.294479705,14449829.94,35653700,0.091894375,-7078200.259,39.09185024,-3.485895793,-1.040580777,-107597.6506,1023.408078,0,2.531537909,0.296613946,0,0,2.814404382,0.330542379,0,0,0,-0.029832369,-0.008095981,-0.021736388,0,0,0.536697855,0.493367501,-0.046768812,-0.001057803,22.69907855,6.062007141,-165.586262,0.127948556,16,20,-4,0,0,0,44.78508174,0,0,0,-71.97414859,52.06217986,32.08960181,47.4295688,0,-6.673589366,-4.470059988,-2.203529378,-1.044361494
1/19/2010,10:00:00 PM,110.9499969,111.75,110.8300018,111.5199966,10468200,0.005953419,0.008249625,0.130429735,0.749995854,19683843.13,46121900,0.117366863,-5080033.012,43.55760287,0.834918602,-0.806143354,-125691.686,1023.408078,0,2.388533661,0.528800727,0,0,2.685295524,0.543956217,0,0,0,-0.021504686,-0.010777722,-0.010726963,0,0,0.536697855,0.493367501,-0.040406636,-0.00136438,22.69907855,6.062007141,-165.5145051,0.177515954,16,20,-4,0,0,0,50.34933791,0,0,0,-67.30013553,54.89997032,48.50742728,47.26369576,0,-10.32691421,-5.641430833,-4.685483378,0.595341899
1/20/2010,10:00:00 PM,109.9700012,110.0500031,108.4599991,108.9400024,17535000,-0.023134812,0.014595226,0.949684509,0.30188815,12736060.57,28586900,0.068751741,-10817199.49,38.87784171,-18.45256818,-2.766857224,-343347.3549,1023.408078,1.79099884,3.52936315,-0.074099188,0,1,2.707695432,-0.239091066,0,1,0,-0.220546583,-0.052731494,-0.167815089,0,0,0.536697855,0.493367501,-0.100535568,-0.005995335,22.69907855,6.062007141,-167.3889942,-1.433228074,16,40,-24,0,0,0,35.35169491,0,0,0,-64.92423487,45.80201295,9.356795593,29.98460823,0,-10.39595338,-6.592335343,-3.80361804,-2.31348124
