#{"t_start": 1617102642.3938434, "env_id": "rl_stocks-v0"}
r,l,t
-0.002,4,0.091001
-0.001,1,0.112
-0.001,2,0.197998
-12.388432,4,0.269999
-0.001,1,0.282998
-0.001,2,0.298999
-5.171059,4,0.334995
-0.001,2,0.348997
-0.001,1,0.381998
-0.001,1,0.394996
-4.524115,9,0.445996
-0.001,1,0.459001
-6.694805,14,0.523998
-0.001,1,0.534997
-0.001,5,0.573999
-0.001,3,0.587
2.508517,6,0.634998
-0.001,1,0.648
-0.001,1,0.662997
-4.73884,3,0.697995
1.568366,3,0.713996
-0.001,2,0.749999
-0.001,4,0.767002
-0.001,1,0.803
-0.001,3,0.817997
-0.001,2,0.849998
-0.001,2,0.863999
-4.214938,3,0.898997
-0.001,2,0.914999
-0.001,3,0.950998
4.192548,5,0.992997
-0.001,3,1.012
-0.001,1,1.034998
-0.001,2,1.100997
-0.001,1,1.117999
-0.001,1,1.135998
-0.001,3,1.18
-0.001,2,1.194998
-14.683413,5,1.236
-0.001,2,1.281998
-0.001,2,1.300998
-0.001,1,1.320999
-0.001,1,1.343999
-0.001,2,1.393001
0.960025,4,1.432998
-0.001,3,1.446996
0.628129,4,1.563
-0.001,1,1.596001
2.515515,4,1.658998
-0.001,1,1.688998
-0.001,1,1.710004
-0.001,3,1.778
-0.957023,3,1.831997
-0.001,2,1.851999
-0.001,1,1.871
-0.001,1,1.89201
-0.001,1,1.943004
-10.731358,7,2.011998
-0.001,1,2.033999
-0.001,2,2.1039
-0.001,2,2.125908
-0.001,1,2.142905
-0.001,3,2.1939
-8.513284,12,2.2639
-0.001,3,2.303899
-0.001,1,2.320901
-0.001,1,2.333898
-0.001,3,2.3709
-0.001,2,2.387899
-0.001,2,2.426899
-0.001,2,2.442905
-3.841,5,2.4809
-0.001,1,2.492898
-0.001,2,2.526897
13.14454,7,2.566899
-0.001,2,2.578899
-0.001,3,2.6139
-0.001,1,2.627901
-0.001,2,2.660907
-0.001,1,2.6739
-6.189119,4,2.7119
-0.001,2,2.724898
-0.001,1,2.736899
-0.001,1,2.7499
-6.185475,5,2.791897
-0.001,2,2.826906
-0.001,1,2.838899
-0.001,1,2.852899
-0.001,2,2.883899
-0.001,1,2.8949
-13.567476,4,2.930899
-0.001,1,2.9419
-0.001,4,2.977901
-0.001,1,2.9959
-0.001,2,3.0369
-0.001,2,3.078898
-0.001,1,3.092901
-0.001,1,3.1079
-5.713472,5,3.143899
-0.001,1,3.1559
-3.162742,6,3.1939
-0.001,2,3.232898
-34.397967,9,3.2939
-0.001,1,3.3089
-0.001,1,3.325899
-0.001,1,3.335898
-0.001,3,3.367898
-9.585665,4,3.4109
-6.711185,6,3.449913
-0.001,2,3.4629
-0.94618,3,3.4989
-0.001,2,3.516898
27.94744,6,3.5709
-0.001,1,3.6329
-43.725532,12,3.711898
-0.001,3,3.749899
-17.778778,4,3.7679
-0.001,1,3.803899
-7.457511,6,3.843899
-0.001,1,3.856899
-0.001,1,3.8699
-0.001,3,3.903898
-0.001,2,3.9189
-4.910481,6,3.955899
3.374928,4,4.001899
-0.001,1,4.019901
-0.001,3,4.0689
-0.001,1,4.082899
-0.001,1,4.096901
12.858767,5,4.141903
-0.001,1,4.179899
-0.001,2,4.1959
-0.001,1,4.211901
-0.001,3,4.248898
4.526172,5,4.285897
-0.001,3,4.300899
-0.001,1,4.334899
-0.001,2,4.3479
-0.001,2,4.364898
4.237647,14,4.4339
-0.001,2,4.467898
-0.001,1,4.482898
-0.001,1,4.498906
-3.070368,5,4.5349
-0.001,1,4.5489
-0.001,4,4.587898
-0.001,2,4.602898
-0.001,3,4.644901
-0.001,2,4.657898
-0.001,1,4.695899
-0.001,2,4.7119
12.006233,14,4.7829
3.103626,4,4.825901
-0.001,1,4.8409
-0.001,1,4.852898
-0.001,2,4.864898
-11.898307,4,4.901897
-0.001,2,4.934899
-0.001,1,4.947899
-9.106181,3,4.962901
-0.001,2,4.9989
-0.001,3,5.016901
-0.001,1,5.058899
-1.238624,6,5.096899
3.751345,3,5.111901
0.939734,3,5.148899
-0.001,1,5.161901
-0.001,4,5.196899
-1.579283,4,5.233899
-0.001,2,5.249902
0.941899,4,5.286899
-0.001,2,5.303903
-0.001,1,5.337898
-0.001,2,5.351897
-0.001,1,5.364899
-8.473867,5,5.401904
-0.001,3,5.4369
-0.001,3,5.453899
-0.001,3,5.4869
-0.001,1,5.498898
-0.001,1,5.513898
-8.161703,4,5.547897
-0.001,1,5.5619
-0.001,2,5.595898
-0.001,2,5.6109
-0.001,4,5.646899
-0.001,2,5.659901
-0.001,2,5.692898
2.174264,3,5.706899
-0.001,2,5.738899
-0.001,1,5.752903
-0.001,1,5.766901
-0.001,2,5.803899
-0.001,1,5.815899
-0.001,3,5.829906
-0.001,2,5.8649
-0.001,3,5.878898
7.334923,7,5.928898
-0.001,1,5.941901
-0.001,1,5.9539
2.8689,5,5.9939
2.212089,3,6.029897
0.316058,3,6.045897
0.632714,3,6.0859
-0.001,1,6.098897
-12.984712,6,6.1359
-0.001,1,6.173908
-0.001,1,6.186901
-0.001,1,6.201901
-0.001,2,6.214901
-0.963773,3,6.2539
-0.001,2,6.268898
-0.001,2,6.3019
-0.001,2,6.3189
-0.001,2,6.353898
-0.001,1,6.364901
-0.001,1,6.3769
-0.001,1,6.3909
-0.001,2,6.425908
10.429248,3,6.441903
-0.001,1,6.455909
-13.766978,4,6.517898
7.781561,4,6.552899
-5.139086,3,6.5899
