,Index,State,QtyStocks,TradeCost,StockPrice,Profit
0,6,Flat,0,0.0,31.5,0.0
1,7,Go Short,32,1009.6768,31.24,0.0
2,9,Flat,32,0.0,31.06,-5.817599999999991
3,10,Flat,0,0.0,31.26,0.0
4,11,Go Short,32,1009.3536,31.23,0.0
5,12,Flat,32,0.0,31.15,-2.58560000000006
6,13,Go Short,32,993.84,30.75,0.0
7,14,Go Long,32,990.608,30.65,-3.232000000000046
8,15,Go Short,32,999.6576,30.93,9.049600000000037
9,16,Flat,32,0.0,30.9,-0.9696000000000368
10,17,Flat,0,0.0,30.79,0.0
11,18,Go Short,32,996.1024,30.82,0.0
12,19,Flat,32,0.0,30.56,-8.40320000000005
13,20,Go Long,32,999.0112,30.91,0.0
14,21,Go Short,32,1002.2432000000001,31.01,3.232000000000046
15,22,Go Long,32,1000.304,30.95,-1.9392000000000735
16,23,Flat,32,0.0,31.01,1.9392000000000735
17,24,Go Short,32,1006.4448,31.14,0.0
18,25,Flat,32,0.0,31.15,0.3231999999999357
19,26,Flat,0,0.0,31.11,0.0
20,27,Flat,0,0.0,31.19,0.0
21,28,Go Long,32,1000.304,30.95,0.0
22,29,Go Short,32,999.9808,30.94,-0.3231999999999357
23,31,Go Long,32,994.1632000000001,30.76,-5.817599999999991
24,32,Go Short,32,995.7792,30.81,1.6159999999999082
25,33,Go Long,32,998.688,30.9,2.9087999999999954
26,34,Go Short,32,999.0112,30.91,0.3232000000000505
27,36,Flat,32,0.0,31.08,5.49439999999994
28,37,Flat,0,0.0,31.03,0.0
29,38,Go Long,32,1004.1824,31.07,0.0
30,39,Go Short,32,1005.7984,31.12,1.616000000000023
31,41,Go Long,31,989.7090999999999,31.61,15.83679999999995
32,42,Go Short,31,994.0925,31.75,4.383400000000018
33,43,Go Long,31,992.5269999999999,31.7,-1.5655000000000223
34,45,Go Short,31,996.2841999999999,31.82,3.757200000000031
35,46,Go Long,31,994.7187,31.77,-1.5655000000000223
36,51,Flat,31,0.0,31.69,-2.5047999999999466
37,52,Flat,0,0.0,31.77,0.0
38,53,Go Long,31,1005.051,32.1,0.0
39,57,Flat,31,0.0,32.05,-1.5655000000001336
40,58,Go Short,31,998.1628,31.88,0.0
41,60,Flat,31,0.0,32.04,5.009600000000004
42,61,Go Short,31,997.8497,31.87,0.0
43,62,Go Long,31,1001.2938,31.98,3.4440999999999824
